"(46.946167, 6.71622)","(46.946167, 6.7175674)","(46.946167, 6.7189148)","(46.946167, 6.7202622)","(46.946167, 6.7216096)","(46.946167, 6.722957)","(46.946167, 6.7243044)","(46.946167, 6.7256518)","(46.946167, 6.7269992)","(46.946167, 6.7283466)","(46.946167, 6.729694)","(46.946167, 6.7310414)","(46.946167, 6.7323888)","(46.946167, 6.7337362)","(46.946167, 6.7350836)","(46.946167, 6.736431)","(46.946167, 6.7377784)","(46.946167, 6.7391258)","(46.946167, 6.7404732)","(46.946167, 6.7418206)"
"(46.945269800000005, 6.71622)","(46.945269800000005, 6.7175674)","(46.945269800000005, 6.7189148)","(46.945269800000005, 6.7202622)","(46.945269800000005, 6.7216096)","(46.945269800000005, 6.722957)","(46.945269800000005, 6.7243044)","(46.945269800000005, 6.7256518)","(46.945269800000005, 6.7269992)","(46.945269800000005, 6.7283466)","(46.945269800000005, 6.729694)","(46.945269800000005, 6.7310414)","(46.945269800000005, 6.7323888)","(46.945269800000005, 6.7337362)","(46.945269800000005, 6.7350836)","(46.945269800000005, 6.736431)","(46.945269800000005, 6.7377784)","(46.945269800000005, 6.7391258)","(46.945269800000005, 6.7404732)","(46.945269800000005, 6.7418206)"
"(46.9443726, 6.71622)","(46.9443726, 6.7175674)","(46.9443726, 6.7189148)","(46.9443726, 6.7202622)","(46.9443726, 6.7216096)","(46.9443726, 6.722957)","(46.9443726, 6.7243044)","(46.9443726, 6.7256518)","(46.9443726, 6.7269992)","(46.9443726, 6.7283466)","(46.9443726, 6.729694)","(46.9443726, 6.7310414)","(46.9443726, 6.7323888)","(46.9443726, 6.7337362)","(46.9443726, 6.7350836)","(46.9443726, 6.736431)","(46.9443726, 6.7377784)","(46.9443726, 6.7391258)","(46.9443726, 6.7404732)","(46.9443726, 6.7418206)"
"(46.943475400000004, 6.71622)","(46.943475400000004, 6.7175674)","(46.943475400000004, 6.7189148)","(46.943475400000004, 6.7202622)","(46.943475400000004, 6.7216096)","(46.943475400000004, 6.722957)","(46.943475400000004, 6.7243044)","(46.943475400000004, 6.7256518)","(46.943475400000004, 6.7269992)","(46.943475400000004, 6.7283466)","(46.943475400000004, 6.729694)","(46.943475400000004, 6.7310414)","(46.943475400000004, 6.7323888)","(46.943475400000004, 6.7337362)","(46.943475400000004, 6.7350836)","(46.943475400000004, 6.736431)","(46.943475400000004, 6.7377784)","(46.943475400000004, 6.7391258)","(46.943475400000004, 6.7404732)","(46.943475400000004, 6.7418206)"
"(46.9425782, 6.71622)","(46.9425782, 6.7175674)","(46.9425782, 6.7189148)","(46.9425782, 6.7202622)","(46.9425782, 6.7216096)","(46.9425782, 6.722957)","(46.9425782, 6.7243044)","(46.9425782, 6.7256518)","(46.9425782, 6.7269992)","(46.9425782, 6.7283466)","(46.9425782, 6.729694)","(46.9425782, 6.7310414)","(46.9425782, 6.7323888)","(46.9425782, 6.7337362)","(46.9425782, 6.7350836)","(46.9425782, 6.736431)","(46.9425782, 6.7377784)","(46.9425782, 6.7391258)","(46.9425782, 6.7404732)","(46.9425782, 6.7418206)"
"(46.941681, 6.71622)","(46.941681, 6.7175674)","(46.941681, 6.7189148)","(46.941681, 6.7202622)","(46.941681, 6.7216096)","(46.941681, 6.722957)","(46.941681, 6.7243044)","(46.941681, 6.7256518)","(46.941681, 6.7269992)","(46.941681, 6.7283466)","(46.941681, 6.729694)","(46.941681, 6.7310414)","(46.941681, 6.7323888)","(46.941681, 6.7337362)","(46.941681, 6.7350836)","(46.941681, 6.736431)","(46.941681, 6.7377784)","(46.941681, 6.7391258)","(46.941681, 6.7404732)","(46.941681, 6.7418206)"
"(46.940783800000005, 6.71622)","(46.940783800000005, 6.7175674)","(46.940783800000005, 6.7189148)","(46.940783800000005, 6.7202622)","(46.940783800000005, 6.7216096)","(46.940783800000005, 6.722957)","(46.940783800000005, 6.7243044)","(46.940783800000005, 6.7256518)","(46.940783800000005, 6.7269992)","(46.940783800000005, 6.7283466)","(46.940783800000005, 6.729694)","(46.940783800000005, 6.7310414)","(46.940783800000005, 6.7323888)","(46.940783800000005, 6.7337362)","(46.940783800000005, 6.7350836)","(46.940783800000005, 6.736431)","(46.940783800000005, 6.7377784)","(46.940783800000005, 6.7391258)","(46.940783800000005, 6.7404732)","(46.940783800000005, 6.7418206)"
"(46.9398866, 6.71622)","(46.9398866, 6.7175674)","(46.9398866, 6.7189148)","(46.9398866, 6.7202622)","(46.9398866, 6.7216096)","(46.9398866, 6.722957)","(46.9398866, 6.7243044)","(46.9398866, 6.7256518)","(46.9398866, 6.7269992)","(46.9398866, 6.7283466)","(46.9398866, 6.729694)","(46.9398866, 6.7310414)","(46.9398866, 6.7323888)","(46.9398866, 6.7337362)","(46.9398866, 6.7350836)","(46.9398866, 6.736431)","(46.9398866, 6.7377784)","(46.9398866, 6.7391258)","(46.9398866, 6.7404732)","(46.9398866, 6.7418206)"
"(46.938989400000004, 6.71622)","(46.938989400000004, 6.7175674)","(46.938989400000004, 6.7189148)","(46.938989400000004, 6.7202622)","(46.938989400000004, 6.7216096)","(46.938989400000004, 6.722957)","(46.938989400000004, 6.7243044)","(46.938989400000004, 6.7256518)","(46.938989400000004, 6.7269992)","(46.938989400000004, 6.7283466)","(46.938989400000004, 6.729694)","(46.938989400000004, 6.7310414)","(46.938989400000004, 6.7323888)","(46.938989400000004, 6.7337362)","(46.938989400000004, 6.7350836)","(46.938989400000004, 6.736431)","(46.938989400000004, 6.7377784)","(46.938989400000004, 6.7391258)","(46.938989400000004, 6.7404732)","(46.938989400000004, 6.7418206)"
"(46.9380922, 6.71622)","(46.9380922, 6.7175674)","(46.9380922, 6.7189148)","(46.9380922, 6.7202622)","(46.9380922, 6.7216096)","(46.9380922, 6.722957)","(46.9380922, 6.7243044)","(46.9380922, 6.7256518)","(46.9380922, 6.7269992)","(46.9380922, 6.7283466)","(46.9380922, 6.729694)","(46.9380922, 6.7310414)","(46.9380922, 6.7323888)","(46.9380922, 6.7337362)","(46.9380922, 6.7350836)","(46.9380922, 6.736431)","(46.9380922, 6.7377784)","(46.9380922, 6.7391258)","(46.9380922, 6.7404732)","(46.9380922, 6.7418206)"
"(46.937195, 6.71622)","(46.937195, 6.7175674)","(46.937195, 6.7189148)","(46.937195, 6.7202622)","(46.937195, 6.7216096)","(46.937195, 6.722957)","(46.937195, 6.7243044)","(46.937195, 6.7256518)","(46.937195, 6.7269992)","(46.937195, 6.7283466)","(46.937195, 6.729694)","(46.937195, 6.7310414)","(46.937195, 6.7323888)","(46.937195, 6.7337362)","(46.937195, 6.7350836)","(46.937195, 6.736431)","(46.937195, 6.7377784)","(46.937195, 6.7391258)","(46.937195, 6.7404732)","(46.937195, 6.7418206)"
