"(45.99456340727449, 7.631806334276177)","(45.99456340727449, 7.6343945008485585)","(45.99456340727449, 7.636982667420941)","(45.99456340727449, 7.639570833993323)","(45.99456340727449, 7.642159000565706)","(45.99456340727449, 7.644747167138088)","(45.99456340727449, 7.647335333710471)","(45.99456340727449, 7.649923500282853)","(45.99456340727449, 7.6525116668552355)","(45.99456340727449, 7.6550998334276175)","(45.99456340727449, 7.657688)","(45.99456340727449, 7.660276166572382)","(45.99456340727449, 7.662864333144765)","(45.99456340727449, 7.665452499717147)","(45.99456340727449, 7.66804066628953)","(45.99456340727449, 7.670628832861912)","(45.99456340727449, 7.6732169994342945)","(45.99456340727449, 7.675805166006676)","(45.99456340727449, 7.678393332579059)","(45.99456340727449, 7.680981499151441)"
"(45.99276476654704, 7.631806334276177)","(45.99276476654704, 7.6343945008485585)","(45.99276476654704, 7.636982667420941)","(45.99276476654704, 7.639570833993323)","(45.99276476654704, 7.642159000565706)","(45.99276476654704, 7.644747167138088)","(45.99276476654704, 7.647335333710471)","(45.99276476654704, 7.649923500282853)","(45.99276476654704, 7.6525116668552355)","(45.99276476654704, 7.6550998334276175)","(45.99276476654704, 7.657688)","(45.99276476654704, 7.660276166572382)","(45.99276476654704, 7.662864333144765)","(45.99276476654704, 7.665452499717147)","(45.99276476654704, 7.66804066628953)","(45.99276476654704, 7.670628832861912)","(45.99276476654704, 7.6732169994342945)","(45.99276476654704, 7.675805166006676)","(45.99276476654704, 7.678393332579059)","(45.99276476654704, 7.680981499151441)"
"(45.99096612581959, 7.631806334276177)","(45.99096612581959, 7.6343945008485585)","(45.99096612581959, 7.636982667420941)","(45.99096612581959, 7.639570833993323)","(45.99096612581959, 7.642159000565706)","(45.99096612581959, 7.644747167138088)","(45.99096612581959, 7.647335333710471)","(45.99096612581959, 7.649923500282853)","(45.99096612581959, 7.6525116668552355)","(45.99096612581959, 7.6550998334276175)","(45.99096612581959, 7.657688)","(45.99096612581959, 7.660276166572382)","(45.99096612581959, 7.662864333144765)","(45.99096612581959, 7.665452499717147)","(45.99096612581959, 7.66804066628953)","(45.99096612581959, 7.670628832861912)","(45.99096612581959, 7.6732169994342945)","(45.99096612581959, 7.675805166006676)","(45.99096612581959, 7.678393332579059)","(45.99096612581959, 7.680981499151441)"
"(45.989167485092146, 7.631806334276177)","(45.989167485092146, 7.6343945008485585)","(45.989167485092146, 7.636982667420941)","(45.989167485092146, 7.639570833993323)","(45.989167485092146, 7.642159000565706)","(45.989167485092146, 7.644747167138088)","(45.989167485092146, 7.647335333710471)","(45.989167485092146, 7.649923500282853)","(45.989167485092146, 7.6525116668552355)","(45.989167485092146, 7.6550998334276175)","(45.989167485092146, 7.657688)","(45.989167485092146, 7.660276166572382)","(45.989167485092146, 7.662864333144765)","(45.989167485092146, 7.665452499717147)","(45.989167485092146, 7.66804066628953)","(45.989167485092146, 7.670628832861912)","(45.989167485092146, 7.6732169994342945)","(45.989167485092146, 7.675805166006676)","(45.989167485092146, 7.678393332579059)","(45.989167485092146, 7.680981499151441)"
"(45.987368844364696, 7.631806334276177)","(45.987368844364696, 7.6343945008485585)","(45.987368844364696, 7.636982667420941)","(45.987368844364696, 7.639570833993323)","(45.987368844364696, 7.642159000565706)","(45.987368844364696, 7.644747167138088)","(45.987368844364696, 7.647335333710471)","(45.987368844364696, 7.649923500282853)","(45.987368844364696, 7.6525116668552355)","(45.987368844364696, 7.6550998334276175)","(45.987368844364696, 7.657688)","(45.987368844364696, 7.660276166572382)","(45.987368844364696, 7.662864333144765)","(45.987368844364696, 7.665452499717147)","(45.987368844364696, 7.66804066628953)","(45.987368844364696, 7.670628832861912)","(45.987368844364696, 7.6732169994342945)","(45.987368844364696, 7.675805166006676)","(45.987368844364696, 7.678393332579059)","(45.987368844364696, 7.680981499151441)"
"(45.985570203637245, 7.631806334276177)","(45.985570203637245, 7.6343945008485585)","(45.985570203637245, 7.636982667420941)","(45.985570203637245, 7.639570833993323)","(45.985570203637245, 7.642159000565706)","(45.985570203637245, 7.644747167138088)","(45.985570203637245, 7.647335333710471)","(45.985570203637245, 7.649923500282853)","(45.985570203637245, 7.6525116668552355)","(45.985570203637245, 7.6550998334276175)","(45.985570203637245, 7.657688)","(45.985570203637245, 7.660276166572382)","(45.985570203637245, 7.662864333144765)","(45.985570203637245, 7.665452499717147)","(45.985570203637245, 7.66804066628953)","(45.985570203637245, 7.670628832861912)","(45.985570203637245, 7.6732169994342945)","(45.985570203637245, 7.675805166006676)","(45.985570203637245, 7.678393332579059)","(45.985570203637245, 7.680981499151441)"
"(45.983771562909794, 7.631806334276177)","(45.983771562909794, 7.6343945008485585)","(45.983771562909794, 7.636982667420941)","(45.983771562909794, 7.639570833993323)","(45.983771562909794, 7.642159000565706)","(45.983771562909794, 7.644747167138088)","(45.983771562909794, 7.647335333710471)","(45.983771562909794, 7.649923500282853)","(45.983771562909794, 7.6525116668552355)","(45.983771562909794, 7.6550998334276175)","(45.983771562909794, 7.657688)","(45.983771562909794, 7.660276166572382)","(45.983771562909794, 7.662864333144765)","(45.983771562909794, 7.665452499717147)","(45.983771562909794, 7.66804066628953)","(45.983771562909794, 7.670628832861912)","(45.983771562909794, 7.6732169994342945)","(45.983771562909794, 7.675805166006676)","(45.983771562909794, 7.678393332579059)","(45.983771562909794, 7.680981499151441)"
"(45.98197292218235, 7.631806334276177)","(45.98197292218235, 7.6343945008485585)","(45.98197292218235, 7.636982667420941)","(45.98197292218235, 7.639570833993323)","(45.98197292218235, 7.642159000565706)","(45.98197292218235, 7.644747167138088)","(45.98197292218235, 7.647335333710471)","(45.98197292218235, 7.649923500282853)","(45.98197292218235, 7.6525116668552355)","(45.98197292218235, 7.6550998334276175)","(45.98197292218235, 7.657688)","(45.98197292218235, 7.660276166572382)","(45.98197292218235, 7.662864333144765)","(45.98197292218235, 7.665452499717147)","(45.98197292218235, 7.66804066628953)","(45.98197292218235, 7.670628832861912)","(45.98197292218235, 7.6732169994342945)","(45.98197292218235, 7.675805166006676)","(45.98197292218235, 7.678393332579059)","(45.98197292218235, 7.680981499151441)"
"(45.9801742814549, 7.631806334276177)","(45.9801742814549, 7.6343945008485585)","(45.9801742814549, 7.636982667420941)","(45.9801742814549, 7.639570833993323)","(45.9801742814549, 7.642159000565706)","(45.9801742814549, 7.644747167138088)","(45.9801742814549, 7.647335333710471)","(45.9801742814549, 7.649923500282853)","(45.9801742814549, 7.6525116668552355)","(45.9801742814549, 7.6550998334276175)","(45.9801742814549, 7.657688)","(45.9801742814549, 7.660276166572382)","(45.9801742814549, 7.662864333144765)","(45.9801742814549, 7.665452499717147)","(45.9801742814549, 7.66804066628953)","(45.9801742814549, 7.670628832861912)","(45.9801742814549, 7.6732169994342945)","(45.9801742814549, 7.675805166006676)","(45.9801742814549, 7.678393332579059)","(45.9801742814549, 7.680981499151441)"
"(45.97837564072745, 7.631806334276177)","(45.97837564072745, 7.6343945008485585)","(45.97837564072745, 7.636982667420941)","(45.97837564072745, 7.639570833993323)","(45.97837564072745, 7.642159000565706)","(45.97837564072745, 7.644747167138088)","(45.97837564072745, 7.647335333710471)","(45.97837564072745, 7.649923500282853)","(45.97837564072745, 7.6525116668552355)","(45.97837564072745, 7.6550998334276175)","(45.97837564072745, 7.657688)","(45.97837564072745, 7.660276166572382)","(45.97837564072745, 7.662864333144765)","(45.97837564072745, 7.665452499717147)","(45.97837564072745, 7.66804066628953)","(45.97837564072745, 7.670628832861912)","(45.97837564072745, 7.6732169994342945)","(45.97837564072745, 7.675805166006676)","(45.97837564072745, 7.678393332579059)","(45.97837564072745, 7.680981499151441)"
"(45.976577, 7.631806334276177)","(45.976577, 7.6343945008485585)","(45.976577, 7.636982667420941)","(45.976577, 7.639570833993323)","(45.976577, 7.642159000565706)","(45.976577, 7.644747167138088)","(45.976577, 7.647335333710471)","(45.976577, 7.649923500282853)","(45.976577, 7.6525116668552355)","(45.976577, 7.6550998334276175)","(45.976577, 7.657688)","(45.976577, 7.660276166572382)","(45.976577, 7.662864333144765)","(45.976577, 7.665452499717147)","(45.976577, 7.66804066628953)","(45.976577, 7.670628832861912)","(45.976577, 7.6732169994342945)","(45.976577, 7.675805166006676)","(45.976577, 7.678393332579059)","(45.976577, 7.680981499151441)"
"(45.97477835927255, 7.631806334276177)","(45.97477835927255, 7.6343945008485585)","(45.97477835927255, 7.636982667420941)","(45.97477835927255, 7.639570833993323)","(45.97477835927255, 7.642159000565706)","(45.97477835927255, 7.644747167138088)","(45.97477835927255, 7.647335333710471)","(45.97477835927255, 7.649923500282853)","(45.97477835927255, 7.6525116668552355)","(45.97477835927255, 7.6550998334276175)","(45.97477835927255, 7.657688)","(45.97477835927255, 7.660276166572382)","(45.97477835927255, 7.662864333144765)","(45.97477835927255, 7.665452499717147)","(45.97477835927255, 7.66804066628953)","(45.97477835927255, 7.670628832861912)","(45.97477835927255, 7.6732169994342945)","(45.97477835927255, 7.675805166006676)","(45.97477835927255, 7.678393332579059)","(45.97477835927255, 7.680981499151441)"
