"(46.09863858727449, 7.376918625810775)","(46.09863858727449, 7.3795116702296975)","(46.09863858727449, 7.382104714648619)","(46.09863858727449, 7.384697759067542)","(46.09863858727449, 7.387290803486465)","(46.09863858727449, 7.389883847905387)","(46.09863858727449, 7.39247689232431)","(46.09863858727449, 7.395069936743233)","(46.09863858727449, 7.397662981162155)","(46.09863858727449, 7.400256025581077)","(46.09863858727449, 7.40284907)","(46.09863858727449, 7.405442114418922)","(46.09863858727449, 7.408035158837845)","(46.09863858727449, 7.410628203256768)","(46.09863858727449, 7.41322124767569)","(46.09863858727449, 7.415814292094613)","(46.09863858727449, 7.4184073365135355)","(46.09863858727449, 7.421000380932457)","(46.09863858727449, 7.42359342535138)","(46.09863858727449, 7.426186469770303)"
"(46.09683994654704, 7.376918625810775)","(46.09683994654704, 7.3795116702296975)","(46.09683994654704, 7.382104714648619)","(46.09683994654704, 7.384697759067542)","(46.09683994654704, 7.387290803486465)","(46.09683994654704, 7.389883847905387)","(46.09683994654704, 7.39247689232431)","(46.09683994654704, 7.395069936743233)","(46.09683994654704, 7.397662981162155)","(46.09683994654704, 7.400256025581077)","(46.09683994654704, 7.40284907)","(46.09683994654704, 7.405442114418922)","(46.09683994654704, 7.408035158837845)","(46.09683994654704, 7.410628203256768)","(46.09683994654704, 7.41322124767569)","(46.09683994654704, 7.415814292094613)","(46.09683994654704, 7.4184073365135355)","(46.09683994654704, 7.421000380932457)","(46.09683994654704, 7.42359342535138)","(46.09683994654704, 7.426186469770303)"
"(46.09504130581959, 7.376918625810775)","(46.09504130581959, 7.3795116702296975)","(46.09504130581959, 7.382104714648619)","(46.09504130581959, 7.384697759067542)","(46.09504130581959, 7.387290803486465)","(46.09504130581959, 7.389883847905387)","(46.09504130581959, 7.39247689232431)","(46.09504130581959, 7.395069936743233)","(46.09504130581959, 7.397662981162155)","(46.09504130581959, 7.400256025581077)","(46.09504130581959, 7.40284907)","(46.09504130581959, 7.405442114418922)","(46.09504130581959, 7.408035158837845)","(46.09504130581959, 7.410628203256768)","(46.09504130581959, 7.41322124767569)","(46.09504130581959, 7.415814292094613)","(46.09504130581959, 7.4184073365135355)","(46.09504130581959, 7.421000380932457)","(46.09504130581959, 7.42359342535138)","(46.09504130581959, 7.426186469770303)"
"(46.09324266509215, 7.376918625810775)","(46.09324266509215, 7.3795116702296975)","(46.09324266509215, 7.382104714648619)","(46.09324266509215, 7.384697759067542)","(46.09324266509215, 7.387290803486465)","(46.09324266509215, 7.389883847905387)","(46.09324266509215, 7.39247689232431)","(46.09324266509215, 7.395069936743233)","(46.09324266509215, 7.397662981162155)","(46.09324266509215, 7.400256025581077)","(46.09324266509215, 7.40284907)","(46.09324266509215, 7.405442114418922)","(46.09324266509215, 7.408035158837845)","(46.09324266509215, 7.410628203256768)","(46.09324266509215, 7.41322124767569)","(46.09324266509215, 7.415814292094613)","(46.09324266509215, 7.4184073365135355)","(46.09324266509215, 7.421000380932457)","(46.09324266509215, 7.42359342535138)","(46.09324266509215, 7.426186469770303)"
"(46.0914440243647, 7.376918625810775)","(46.0914440243647, 7.3795116702296975)","(46.0914440243647, 7.382104714648619)","(46.0914440243647, 7.384697759067542)","(46.0914440243647, 7.387290803486465)","(46.0914440243647, 7.389883847905387)","(46.0914440243647, 7.39247689232431)","(46.0914440243647, 7.395069936743233)","(46.0914440243647, 7.397662981162155)","(46.0914440243647, 7.400256025581077)","(46.0914440243647, 7.40284907)","(46.0914440243647, 7.405442114418922)","(46.0914440243647, 7.408035158837845)","(46.0914440243647, 7.410628203256768)","(46.0914440243647, 7.41322124767569)","(46.0914440243647, 7.415814292094613)","(46.0914440243647, 7.4184073365135355)","(46.0914440243647, 7.421000380932457)","(46.0914440243647, 7.42359342535138)","(46.0914440243647, 7.426186469770303)"
"(46.08964538363725, 7.376918625810775)","(46.08964538363725, 7.3795116702296975)","(46.08964538363725, 7.382104714648619)","(46.08964538363725, 7.384697759067542)","(46.08964538363725, 7.387290803486465)","(46.08964538363725, 7.389883847905387)","(46.08964538363725, 7.39247689232431)","(46.08964538363725, 7.395069936743233)","(46.08964538363725, 7.397662981162155)","(46.08964538363725, 7.400256025581077)","(46.08964538363725, 7.40284907)","(46.08964538363725, 7.405442114418922)","(46.08964538363725, 7.408035158837845)","(46.08964538363725, 7.410628203256768)","(46.08964538363725, 7.41322124767569)","(46.08964538363725, 7.415814292094613)","(46.08964538363725, 7.4184073365135355)","(46.08964538363725, 7.421000380932457)","(46.08964538363725, 7.42359342535138)","(46.08964538363725, 7.426186469770303)"
"(46.0878467429098, 7.376918625810775)","(46.0878467429098, 7.3795116702296975)","(46.0878467429098, 7.382104714648619)","(46.0878467429098, 7.384697759067542)","(46.0878467429098, 7.387290803486465)","(46.0878467429098, 7.389883847905387)","(46.0878467429098, 7.39247689232431)","(46.0878467429098, 7.395069936743233)","(46.0878467429098, 7.397662981162155)","(46.0878467429098, 7.400256025581077)","(46.0878467429098, 7.40284907)","(46.0878467429098, 7.405442114418922)","(46.0878467429098, 7.408035158837845)","(46.0878467429098, 7.410628203256768)","(46.0878467429098, 7.41322124767569)","(46.0878467429098, 7.415814292094613)","(46.0878467429098, 7.4184073365135355)","(46.0878467429098, 7.421000380932457)","(46.0878467429098, 7.42359342535138)","(46.0878467429098, 7.426186469770303)"
"(46.08604810218235, 7.376918625810775)","(46.08604810218235, 7.3795116702296975)","(46.08604810218235, 7.382104714648619)","(46.08604810218235, 7.384697759067542)","(46.08604810218235, 7.387290803486465)","(46.08604810218235, 7.389883847905387)","(46.08604810218235, 7.39247689232431)","(46.08604810218235, 7.395069936743233)","(46.08604810218235, 7.397662981162155)","(46.08604810218235, 7.400256025581077)","(46.08604810218235, 7.40284907)","(46.08604810218235, 7.405442114418922)","(46.08604810218235, 7.408035158837845)","(46.08604810218235, 7.410628203256768)","(46.08604810218235, 7.41322124767569)","(46.08604810218235, 7.415814292094613)","(46.08604810218235, 7.4184073365135355)","(46.08604810218235, 7.421000380932457)","(46.08604810218235, 7.42359342535138)","(46.08604810218235, 7.426186469770303)"
"(46.0842494614549, 7.376918625810775)","(46.0842494614549, 7.3795116702296975)","(46.0842494614549, 7.382104714648619)","(46.0842494614549, 7.384697759067542)","(46.0842494614549, 7.387290803486465)","(46.0842494614549, 7.389883847905387)","(46.0842494614549, 7.39247689232431)","(46.0842494614549, 7.395069936743233)","(46.0842494614549, 7.397662981162155)","(46.0842494614549, 7.400256025581077)","(46.0842494614549, 7.40284907)","(46.0842494614549, 7.405442114418922)","(46.0842494614549, 7.408035158837845)","(46.0842494614549, 7.410628203256768)","(46.0842494614549, 7.41322124767569)","(46.0842494614549, 7.415814292094613)","(46.0842494614549, 7.4184073365135355)","(46.0842494614549, 7.421000380932457)","(46.0842494614549, 7.42359342535138)","(46.0842494614549, 7.426186469770303)"
"(46.08245082072745, 7.376918625810775)","(46.08245082072745, 7.3795116702296975)","(46.08245082072745, 7.382104714648619)","(46.08245082072745, 7.384697759067542)","(46.08245082072745, 7.387290803486465)","(46.08245082072745, 7.389883847905387)","(46.08245082072745, 7.39247689232431)","(46.08245082072745, 7.395069936743233)","(46.08245082072745, 7.397662981162155)","(46.08245082072745, 7.400256025581077)","(46.08245082072745, 7.40284907)","(46.08245082072745, 7.405442114418922)","(46.08245082072745, 7.408035158837845)","(46.08245082072745, 7.410628203256768)","(46.08245082072745, 7.41322124767569)","(46.08245082072745, 7.415814292094613)","(46.08245082072745, 7.4184073365135355)","(46.08245082072745, 7.421000380932457)","(46.08245082072745, 7.42359342535138)","(46.08245082072745, 7.426186469770303)"
"(46.08065218, 7.376918625810775)","(46.08065218, 7.3795116702296975)","(46.08065218, 7.382104714648619)","(46.08065218, 7.384697759067542)","(46.08065218, 7.387290803486465)","(46.08065218, 7.389883847905387)","(46.08065218, 7.39247689232431)","(46.08065218, 7.395069936743233)","(46.08065218, 7.397662981162155)","(46.08065218, 7.400256025581077)","(46.08065218, 7.40284907)","(46.08065218, 7.405442114418922)","(46.08065218, 7.408035158837845)","(46.08065218, 7.410628203256768)","(46.08065218, 7.41322124767569)","(46.08065218, 7.415814292094613)","(46.08065218, 7.4184073365135355)","(46.08065218, 7.421000380932457)","(46.08065218, 7.42359342535138)","(46.08065218, 7.426186469770303)"
