"(46.91404150363724, 6.571585438460083)","(46.91404150363724, 6.572901764614075)","(46.91404150363724, 6.574218090768066)","(46.91404150363724, 6.575534416922058)","(46.91404150363724, 6.57685074307605)","(46.91404150363724, 6.578167069230041)","(46.91404150363724, 6.579483395384033)","(46.91404150363724, 6.580799721538025)","(46.91404150363724, 6.582116047692016)","(46.91404150363724, 6.583432373846008)","(46.91404150363724, 6.5847487)","(46.91404150363724, 6.5860650261539915)","(46.91404150363724, 6.5873813523079825)","(46.91404150363724, 6.588697678461974)","(46.91404150363724, 6.590014004615966)","(46.91404150363724, 6.591330330769957)","(46.91404150363724, 6.592646656923949)","(46.91404150363724, 6.593962983077941)","(46.91404150363724, 6.595279309231932)","(46.91404150363724, 6.596595635385924)"
"(46.91314218327352, 6.571585438460083)","(46.91314218327352, 6.572901764614075)","(46.91314218327352, 6.574218090768066)","(46.91314218327352, 6.575534416922058)","(46.91314218327352, 6.57685074307605)","(46.91314218327352, 6.578167069230041)","(46.91314218327352, 6.579483395384033)","(46.91314218327352, 6.580799721538025)","(46.91314218327352, 6.582116047692016)","(46.91314218327352, 6.583432373846008)","(46.91314218327352, 6.5847487)","(46.91314218327352, 6.5860650261539915)","(46.91314218327352, 6.5873813523079825)","(46.91314218327352, 6.588697678461974)","(46.91314218327352, 6.590014004615966)","(46.91314218327352, 6.591330330769957)","(46.91314218327352, 6.592646656923949)","(46.91314218327352, 6.593962983077941)","(46.91314218327352, 6.595279309231932)","(46.91314218327352, 6.596595635385924)"
"(46.91224286290979, 6.571585438460083)","(46.91224286290979, 6.572901764614075)","(46.91224286290979, 6.574218090768066)","(46.91224286290979, 6.575534416922058)","(46.91224286290979, 6.57685074307605)","(46.91224286290979, 6.578167069230041)","(46.91224286290979, 6.579483395384033)","(46.91224286290979, 6.580799721538025)","(46.91224286290979, 6.582116047692016)","(46.91224286290979, 6.583432373846008)","(46.91224286290979, 6.5847487)","(46.91224286290979, 6.5860650261539915)","(46.91224286290979, 6.5873813523079825)","(46.91224286290979, 6.588697678461974)","(46.91224286290979, 6.590014004615966)","(46.91224286290979, 6.591330330769957)","(46.91224286290979, 6.592646656923949)","(46.91224286290979, 6.593962983077941)","(46.91224286290979, 6.595279309231932)","(46.91224286290979, 6.596595635385924)"
"(46.91134354254607, 6.571585438460083)","(46.91134354254607, 6.572901764614075)","(46.91134354254607, 6.574218090768066)","(46.91134354254607, 6.575534416922058)","(46.91134354254607, 6.57685074307605)","(46.91134354254607, 6.578167069230041)","(46.91134354254607, 6.579483395384033)","(46.91134354254607, 6.580799721538025)","(46.91134354254607, 6.582116047692016)","(46.91134354254607, 6.583432373846008)","(46.91134354254607, 6.5847487)","(46.91134354254607, 6.5860650261539915)","(46.91134354254607, 6.5873813523079825)","(46.91134354254607, 6.588697678461974)","(46.91134354254607, 6.590014004615966)","(46.91134354254607, 6.591330330769957)","(46.91134354254607, 6.592646656923949)","(46.91134354254607, 6.593962983077941)","(46.91134354254607, 6.595279309231932)","(46.91134354254607, 6.596595635385924)"
"(46.91044422218234, 6.571585438460083)","(46.91044422218234, 6.572901764614075)","(46.91044422218234, 6.574218090768066)","(46.91044422218234, 6.575534416922058)","(46.91044422218234, 6.57685074307605)","(46.91044422218234, 6.578167069230041)","(46.91044422218234, 6.579483395384033)","(46.91044422218234, 6.580799721538025)","(46.91044422218234, 6.582116047692016)","(46.91044422218234, 6.583432373846008)","(46.91044422218234, 6.5847487)","(46.91044422218234, 6.5860650261539915)","(46.91044422218234, 6.5873813523079825)","(46.91044422218234, 6.588697678461974)","(46.91044422218234, 6.590014004615966)","(46.91044422218234, 6.591330330769957)","(46.91044422218234, 6.592646656923949)","(46.91044422218234, 6.593962983077941)","(46.91044422218234, 6.595279309231932)","(46.91044422218234, 6.596595635385924)"
"(46.90954490181862, 6.571585438460083)","(46.90954490181862, 6.572901764614075)","(46.90954490181862, 6.574218090768066)","(46.90954490181862, 6.575534416922058)","(46.90954490181862, 6.57685074307605)","(46.90954490181862, 6.578167069230041)","(46.90954490181862, 6.579483395384033)","(46.90954490181862, 6.580799721538025)","(46.90954490181862, 6.582116047692016)","(46.90954490181862, 6.583432373846008)","(46.90954490181862, 6.5847487)","(46.90954490181862, 6.5860650261539915)","(46.90954490181862, 6.5873813523079825)","(46.90954490181862, 6.588697678461974)","(46.90954490181862, 6.590014004615966)","(46.90954490181862, 6.591330330769957)","(46.90954490181862, 6.592646656923949)","(46.90954490181862, 6.593962983077941)","(46.90954490181862, 6.595279309231932)","(46.90954490181862, 6.596595635385924)"
"(46.9086455814549, 6.571585438460083)","(46.9086455814549, 6.572901764614075)","(46.9086455814549, 6.574218090768066)","(46.9086455814549, 6.575534416922058)","(46.9086455814549, 6.57685074307605)","(46.9086455814549, 6.578167069230041)","(46.9086455814549, 6.579483395384033)","(46.9086455814549, 6.580799721538025)","(46.9086455814549, 6.582116047692016)","(46.9086455814549, 6.583432373846008)","(46.9086455814549, 6.5847487)","(46.9086455814549, 6.5860650261539915)","(46.9086455814549, 6.5873813523079825)","(46.9086455814549, 6.588697678461974)","(46.9086455814549, 6.590014004615966)","(46.9086455814549, 6.591330330769957)","(46.9086455814549, 6.592646656923949)","(46.9086455814549, 6.593962983077941)","(46.9086455814549, 6.595279309231932)","(46.9086455814549, 6.596595635385924)"
"(46.90774626109117, 6.571585438460083)","(46.90774626109117, 6.572901764614075)","(46.90774626109117, 6.574218090768066)","(46.90774626109117, 6.575534416922058)","(46.90774626109117, 6.57685074307605)","(46.90774626109117, 6.578167069230041)","(46.90774626109117, 6.579483395384033)","(46.90774626109117, 6.580799721538025)","(46.90774626109117, 6.582116047692016)","(46.90774626109117, 6.583432373846008)","(46.90774626109117, 6.5847487)","(46.90774626109117, 6.5860650261539915)","(46.90774626109117, 6.5873813523079825)","(46.90774626109117, 6.588697678461974)","(46.90774626109117, 6.590014004615966)","(46.90774626109117, 6.591330330769957)","(46.90774626109117, 6.592646656923949)","(46.90774626109117, 6.593962983077941)","(46.90774626109117, 6.595279309231932)","(46.90774626109117, 6.596595635385924)"
"(46.90684694072745, 6.571585438460083)","(46.90684694072745, 6.572901764614075)","(46.90684694072745, 6.574218090768066)","(46.90684694072745, 6.575534416922058)","(46.90684694072745, 6.57685074307605)","(46.90684694072745, 6.578167069230041)","(46.90684694072745, 6.579483395384033)","(46.90684694072745, 6.580799721538025)","(46.90684694072745, 6.582116047692016)","(46.90684694072745, 6.583432373846008)","(46.90684694072745, 6.5847487)","(46.90684694072745, 6.5860650261539915)","(46.90684694072745, 6.5873813523079825)","(46.90684694072745, 6.588697678461974)","(46.90684694072745, 6.590014004615966)","(46.90684694072745, 6.591330330769957)","(46.90684694072745, 6.592646656923949)","(46.90684694072745, 6.593962983077941)","(46.90684694072745, 6.595279309231932)","(46.90684694072745, 6.596595635385924)"
"(46.90594762036372, 6.571585438460083)","(46.90594762036372, 6.572901764614075)","(46.90594762036372, 6.574218090768066)","(46.90594762036372, 6.575534416922058)","(46.90594762036372, 6.57685074307605)","(46.90594762036372, 6.578167069230041)","(46.90594762036372, 6.579483395384033)","(46.90594762036372, 6.580799721538025)","(46.90594762036372, 6.582116047692016)","(46.90594762036372, 6.583432373846008)","(46.90594762036372, 6.5847487)","(46.90594762036372, 6.5860650261539915)","(46.90594762036372, 6.5873813523079825)","(46.90594762036372, 6.588697678461974)","(46.90594762036372, 6.590014004615966)","(46.90594762036372, 6.591330330769957)","(46.90594762036372, 6.592646656923949)","(46.90594762036372, 6.593962983077941)","(46.90594762036372, 6.595279309231932)","(46.90594762036372, 6.596595635385924)"
"(46.9050483, 6.571585438460083)","(46.9050483, 6.572901764614075)","(46.9050483, 6.574218090768066)","(46.9050483, 6.575534416922058)","(46.9050483, 6.57685074307605)","(46.9050483, 6.578167069230041)","(46.9050483, 6.579483395384033)","(46.9050483, 6.580799721538025)","(46.9050483, 6.582116047692016)","(46.9050483, 6.583432373846008)","(46.9050483, 6.5847487)","(46.9050483, 6.5860650261539915)","(46.9050483, 6.5873813523079825)","(46.9050483, 6.588697678461974)","(46.9050483, 6.590014004615966)","(46.9050483, 6.591330330769957)","(46.9050483, 6.592646656923949)","(46.9050483, 6.593962983077941)","(46.9050483, 6.595279309231932)","(46.9050483, 6.596595635385924)"
